HD 170235,B1.5 V e,,HD178175
HD 170314,A0 IV,,HD178175
HD 170562,B8 V He strong,,HD178175
HD 170795,B3 V,,HD178329
HD 170973,B9 III + OTHER,,HD178475
HD 171012,? e (HD 168021),,HD178540
HD 171247,B8 III (B9?),,HD178568
HD 171301,B8 IV,,HD179343
HD 171406,B3 V e He weak,,HD179343
HD 171461,B9 IV,,HD179583
HD 171780,B3 V e He weak,,HD179588
HD 172044,B8 II,,HD180126
HD 172046,B7 Ivn,,HD180587
HD 172167,A0 V,,HD181751
HD 172560,A0 V e,,HD182255
HD 174298,B1.5 V,,HD182519
HD 174853,"B8 V, B8 V binary",,HD182519
HD 176301,B7 V-III,,HD182519
HD 177347,B3 IV,,HD182519
HD 178540,B5 IV,,HD182519
HD 181751,B8 V e,,HD182550
HD 184961,"B8 IV binary, p",,HD182568
HD 187961,B7 III e,,HD183035
HD 190066,B0.2 II,,HD183656
HD 193220,B1.5 V,,HD183656
HD 195340,B3 IV,,HD183656
HD 195341,B5 IV,,HD183656
HD 195358,B9 II + A2 I binary,,HD184171
HD 195775,B7 V,,HD184606
HD 142315,B9 IV e,,HD184927
HD 142669,B2 V-IV,,HD184927
HD 144334,B8 V-III,,HD184927
HD 172883,B9 V,,HD184927
HD 173087,B5 V,,HD184930
HD 173370,B8 V,,HD184961
HD 174105,B7 III e,,HD186485
HD 174179,B3 IV,,HD186637
HD 174237,B2.5 V e,,HD186882
HD 174261,B3 V,,HD187640
HD 174391,B2 IV,,HD187811
HD 174567,A0 III,,HD187851
HD 174585,B2.5 V,,HD187961
HD 174959,B7 V,,HD189090
HD 175132,A0 II,,HD189236
HD 175191,B2.5 V,,HD189847
HD 175511,B7 IV en He B9,,HD189944
HD 175869,B8 III,,HD189957
HD 176254,B3 IV,,HD190066
HD 176304,B2.5 III,,HD190150
HD 176871,B3 V He weak,,HD190603
HD 177756,B8 V-IV,,HD191263
HD 178568,B8 IV,,HD191610
HD 179583,A3 V,,HD191692
HD 179588,B9 IV,,HD192987
,,,HD193220
,,,HD193322
,,,HD193911
,,,HD193964
,,,HD194335
,,,HD194335
,,,HD195340
,,,HD195341
,,,HD195358
,,,HD195775
,,,HD195810
,,,HD196740
,,,HD196867
,,,HD197345
,,,HD198183
,,,HD198478
,,,HD198667
,,,HD198846
,,,HD199081
,,,HD200120
,,,HD200310
,,,HD200775
,,,HD201184
,,,HD201522
,,,HD201836
,,,HD202124
,,,HD202214
,,,HD203064
,,,HD204172
,,,HD204722
,,,HD204722
,,,HD204860
,,,HD205021
,,,HD205021
,,,HD205021
,,,HD205021
,,,HD205329
,,,HD205637
,,,HD206135
,,,HD206165
,,,HD206183
,,,HD206672
,,,HD207330
,,,HD208501
,,,HD209339
,,,HD209409
,,,HD209481
,,,HD209819
,,,HD209975
,,,HD210129
,,,HD210419
,,,HD210809
,,,HD210839
,,,HD212044
,,,HD212076
,,,HD212097
,,,HD212120
,,,HD212571
,,,HD212593
,,,HD212666
,,,HD212666
,,,HD212666
,,,HD212666
,,,HD212666
,,,HD212666
,,,HD212666
,,,HD212666
,,,HD212666
,,,HD212666
,,,HD212666
,,,HD212666
,,,HD212666
,,,HD213420
,,,HD213998
,,,HD214168
,,,HD214432
,,,HD214680
,,,HD214748
,,,HD214923
,,,HD214993
,,,HD216735
,,,HD216956
,,,HD217675
,,,HD217891
,,,HD218376
,,,HD218700
,,,HD219523
,,,HD219688
,,,HD221188
,,,HD221253
,,,HD222173
,,,HD222439
,,,HD222847
,,,HD224572
,,,HD224990
,,,HD225132
,,,HD229239
,,,HD230246
,,,HD236689
,,,HD280006
,,,HD280849
,,,MWC005
,,,TYC4056_415_1
