name	classification
HD202671	B5III
HD205087	B9IV
HD206540	B6IV
HD161756	B3IV
HD163685	B3IV
HD167287	B1:Iab:
HD171957	B7III
HD175250	A0IV
HD175360	B5III
HD182308	B8III
HD181858	B3V
HD185037	B8V
HD187235	B8V
HD187879	B1III
HD188209	O9.5Iab
HD188252	B1.5III
HD188665	B5V
HD189178	B4IV
HD189687	B2.5IV
HD192907	B9IV
HD192575	B1V
HD193237	B2.5Ia
HD193536	B2V
HD193722	B8.5III
HD194668	B9III-IV
HD195554	B9IV
HD195556	B3III
HD196178	B8IV
HD196504	B9V
HD196775	B3IV
HD164581	B1.5III
HD165516	B0.5Ib
HD166937	B8Iab
HD181750	B6V
HD181828	B7V
HD182691	B9IV
HD182618	B5V
HD183339	B5III-IV
HD182645	B7III
HD183143	B8I
HD183144	B4III
HD183362	B2.5III
HD183261	B3IV
HD183227	B5III
HD183537	B5IV
HD184279	B2:I:
HD185268	B5IV
HD185423	B3III
HD185507	B2.5V
HD185859	B0.5Ia
HD185915	B5III
HD185936	B5IV
HD186179	B5IV
HD186122	B9II-III
HD186440	A0V
HD186412	B5V
HD186547	B9III-IV
HD187459	B0.2III
HD183142	B5IV
HD184940	B7V
HD185330	B5III
HD185872	B8.5IV
HD187767	B7V
HD188001	O7.5Iab
HD188439	B0.5III
HD188461	B2IV
HD188651	B6IV
HD188892	B4III
HD189066	B4IV
HD189183	B9V
HD189432	B6IV
HD189395	B9IV
HD189775	B5III
HD190047	B5II-III
HD190167	B9IV
HD190993	B3V
HD191243	B6Ib
HD191855	B7V
HD191639	B1III
HD191877	B1Ib
HD192044	B7III
HD192276	B7V
HD192659	B9IV
HD192684	A1IV
HD194939	B9IV-V
HD190429	O4I
HD190919	B0.7Ib
HD191295	B7V
HD192143	B7V
HD192422	B0.5Ib
HD193183	B1.5Ib
HD193553	B5III
HD194206	B5III
HD194211	B9IV
HD194305	B9IV
HD194789	B7III-IV
HD194636	B7III-IV
HD195986	B3IV
HD196035	B3IV
HD000144	B8IV
HD001064	B8.5V
HD001606	B7V
HD001976	B3IV-V
HD002011	B8IV
HD183914	B8V
HD184915	B0.5:III:
HD187613	B7.5III-IV
HD188293	B7V
HD188294	B8.5V
HD192517	B2IV
HD192579	B5V
HD193452	A0IV
HD194279	B2Ia
HD195592	O9.7Ia
HD200614	B8IV
HD204770	B6III-IV
HD216831	B7III-IV
HD216916	B2IV
HD218045	A0IV
HD222109	B8V
HD222661	B9.5V
HD223128	B2IV
HD224926	B7III-IV
HD225094	B3:Iab:
HD225289	B7III-IV
HD002054	B8.5IV
HD004142	B5IV
HD006118	B9.5V
HD006676	B8V
HD007019	B7III-IV
HD173320	B7IV
HD183794	B7:III:
HD186605	B5V
HD191030	B7III-IV
HD193933	B5IV
HD194357	B8.5II
HD196662	B7III
HD199892	B7.5V
HD199955	B3V
HD204536	B3IV
HD208682	B2V
HD212454	B7III
HD214994	A0.5IV
HD216057	B3V
HD217101	B2V
HD220222	B6IV
HD220885	A2IV
HD222304	B9III-IV
HD224151	B0.5:III:
HD224404	B8.5III
HD224906	B7III
HD225257	B2.5V
